,0,1,2,3,4,5,6,7
0,1.0895401,0.06307764,0.027710153,0.9008116,1.0173111,1.2682381,0.54191047,0.9816379
1,0.028005958,0.2806955,0.00049948227,0.45814046,0.005480712,0.5919094,0.0022895888,1.422403
2,0.035756703,0.6131624,0.0,0.018443001,0.0,0.024715826,0.074366376,0.015403979
3,0.015088342,0.27955693,0.019731315,0.2013324,0.026218476,0.015389088,0.9316619,0.0793488
4,0.0,0.0,1.9275886,0.0,0.0688342,0.13022602,0.0,0.0
5,0.01004763,1.7357308,0.015861053,0.014380403,0.20744626,0.012758251,0.021116523,0.13156867
6,0.35577956,0.63753474,0.7494143,0.3773262,1.0086392,0.3059413,1.3906326,0.3779871
7,0.19952236,0.1181372,0.8826606,0.795935,0.14047056,0.15807405,1.2045968,0.085748896
8,0.2892137,0.26304585,1.2526789,0.34475997,0.29506034,0.29089716,0.30009887,0.3230841
9,0.508255,1.2896689,1.9826735,1.4611101,0.5677569,0.10758395,0.06231901,0.0
10,1.0486978,0.8062641,0.666029,0.7164814,0.7175763,0.73619086,0.61810845,0.77148044
11,0.0,0.0,2.1230102,0.95140386,0.0,0.0,0.0,0.0
12,0.388626,0.23193367,0.3503822,0.8571558,1.2337931,0.60407746,0.13828221,0.20127699
13,0.0,0.23364621,0.0,0.48333117,0.61657,0.0,0.0,0.0
14,0.13248853,0.56503093,0.11881137,0.5978992,0.106785,0.12456425,0.6786847,0.48930126
15,0.35897413,1.6014782,1.0468968,0.3009765,0.27108282,0.601587,0.36515138,2.2255793
16,0.011852426,0.13939099,0.7526528,0.0,0.034535583,0.016313367,1.155184,0.0
17,0.0,0.12898046,0.0,0.0,0.0,0.0,0.28946024,0.8265712
18,0.0,0.0,0.0,0.0,0.0,0.3338445,1.3342093,0.9427122
19,0.38773358,0.7370965,0.15881632,0.14672878,1.8699708,0.13525435,1.3052381,0.25272965
20,0.2581994,0.25922537,0.3100861,0.30974928,0.32039383,1.32533,0.25395483,0.32016295
21,0.0,0.0,2.178002,0.0,1.8581711,0.0,0.29415908,0.95103574
22,0.24192978,1.210024,0.8317731,1.1389937,0.21240154,0.19746989,0.24741425,0.45317745
23,0.45663738,0.49426866,0.54821926,1.0734835,2.0764878,0.6150265,1.2022573,0.8712888
24,0.9263912,0.6177121,0.44691828,0.37144303,0.3553025,1.7736831,0.33030507,0.28053254
25,0.22714308,0.2247779,0.6305556,0.76876575,0.04249037,0.7249213,0.31539142,1.8079718
26,1.0370481,1.2429924,0.9085176,0.7467548,1.03102,1.1206329,1.1299528,0.99816513
27,0.1378041,0.20701958,0.2492265,1.1950337,0.12740907,0.15826444,0.10526187,0.2531264
28,0.12578489,0.9561613,0.8231274,0.6228986,0.047313884,0.5297839,0.18535167,0.33672318
29,2.2892318,0.42293525,0.9183079,0.09613303,0.4431763,0.106531054,0.52191097,0.0039114286
30,0.0,0.0,0.33374274,0.0,0.12157727,0.0,0.0,0.0
31,1.6250163,0.33552447,0.32140106,2.5020106,0.3332976,0.2578372,0.5792323,0.30293083
32,0.9213514,0.013176832,0.016366698,0.02600652,0.014333161,0.18362412,0.21996452,0.04761036
33,1.224229,0.28607777,1.0833294,0.17178072,0.20180047,0.15470946,0.087464765,1.1033916
34,0.058046117,0.060399137,2.814485,0.59933245,1.3742304,1.1784537,0.36640742,0.024602052
35,0.14433457,0.12830754,0.26453823,0.11310885,0.05992377,0.10789864,0.66478205,0.6010649
36,0.17920454,0.63765883,0.8282627,1.3900605,0.07570775,0.3815109,0.1085024,0.4540181
37,0.0,0.81323683,1.6505615,0.895195,0.0,1.5817264,1.046324,0.0
38,0.035124388,0.78072923,1.0084739,0.11227937,0.7471902,0.18657656,1.3238554,0.5287972
39,0.0,0.0,0.0,0.0,1.1415691,0.24077286,0.0,0.0
40,0.14903553,0.4280942,0.20419665,1.4254497,1.2253945,0.023314973,0.36265415,0.2421212
41,0.0,0.0,0.5973185,0.06243861,0.0,0.0,0.21285586,0.0
42,0.27218825,0.009325289,0.9912755,1.0325434,0.637696,0.009976525,0.008513853,0.47913855
43,0.0,0.0,0.0,1.1033503,0.05112847,1.417383,0.9318856,0.0
44,0.34667745,0.006300498,0.017161066,0.017686924,0.015628388,0.016061172,0.0,0.5966231
45,1.0579731,1.3423173,1.3573221,0.89043146,0.6918626,1.1471732,1.1810508,0.9546324
46,1.6577182,0.35926712,0.74214,0.3728286,0.3745123,0.35493097,0.37576944,0.74008024
47,0.01782272,0.023707869,0.023118403,0.40570706,0.024613487,1.6640838,0.022922104,0.018910456
48,0.69149053,0.0,0.8256939,0.5032947,0.18047045,0.0,0.0,0.0016810063
49,0.47432488,0.24968347,1.8461704,0.29442078,0.27022684,0.22535294,0.31659403,0.31548336
50,0.50649875,1.2029693,0.5023086,1.9452415,0.5199219,0.49093536,0.52534896,0.5304295
51,0.2413662,0.8791215,1.5682484,0.25118804,0.68766123,0.08979257,0.19718722,0.16842093
52,0.5775584,0.6153736,0.0,0.020990478,0.0,0.0,0.0,0.31830913
53,1.903679,0.0053071207,0.010839295,0.3442801,0.012875868,0.01530656,0.0040065986,0.084775984
54,0.9112347,0.64834094,0.3590428,1.2271154,0.31800368,0.6189677,0.79019004,2.1054296
55,0.57258904,0.008167017,0.48822922,0.013693454,0.00587553,0.32276613,0.009935195,0.4357961
56,0.0,0.0,0.0,0.59586823,0.0,0.7225734,1.0938208,0.0
57,0.0,0.0193201,0.0,0.0037555855,0.0017532343,0.5608261,0.0,0.0
58,0.011563751,0.024326298,0.9043621,0.04197932,0.74489117,0.036763936,0.002759955,0.2169916
59,1.9273478,0.0,0.60365444,0.0,1.4471657,0.6667859,0.0014182472,0.7015959
60,0.50796944,0.5121803,0.41420597,1.7243502,0.5520568,1.9486618,2.2394023,0.46079287
61,0.0018170916,0.00022401763,0.1813699,0.0457757,0.0006392772,0.0,1.6934998,0.017661162
62,0.021129021,0.0,0.023993174,0.1881416,1.3824528,0.018702025,0.060052328,0.025690332
63,2.1623197,0.0,0.0,0.0,0.0,1.2663699,0.0,1.01512
64,1.1113924,0.09478332,0.8850938,0.064765744,0.77721053,1.6189319,1.0399413,0.43452895
65,0.0,0.0,0.0,0.95654553,0.0,1.6718107,0.0,0.31326094
