,date,reward,reward,reward,reward,reward
E-Greedy-MF,2024-11-06,5278.303650793651,5533.861428571428,5561.417023809525,5552.685992063492,5601.326666666666
E-Greedy-MF,2024-11-07,5409.903650793652,5662.271428571428,5691.604523809525,5685.852658730159,5727.499999999999
E-Greedy-MLP,2024-10-01,147.3975,225.29174603174604,226.68710317460318,229.53583333333333,234.26119047619048
E-Greedy-MLP,2024-10-02,340.29083333333335,424.9161904761905,403.2004365079365,343.5625,416.95285714285717
E-Greedy-MLP,2024-10-03,479.235,556.7642857142857,526.3432936507936,494.6070238095238,565.1651587301587
E-Greedy-MLP,2024-10-04,578.905,678.7598412698413,643.5107936507936,612.4265476190476,701.7984920634921
E-Greedy-MLP,2024-10-05,684.7911904761904,795.6073412698413,763.6479761904761,744.090119047619,815.1270634920635
E-Greedy-MLP,2024-10-06,791.2736904761904,928.9203968253969,890.1479761904761,855.2182142857143,948.3210317460317
E-Greedy-MLP,2024-10-07,918.7895238095238,1115.9399206349208,1086.6046428571428,1030.1515476190477,1142.3643650793651
E-Greedy-MLP,2024-10-08,1076.2161904761904,1266.428253968254,1239.004642857143,1200.3871428571429,1315.6851984126984
E-Greedy-MLP,2024-10-09,1218.6464682539681,1452.2415873015873,1422.2713095238096,1386.5532142857144,1497.4309126984126
E-Greedy-MLP,2024-10-10,1379.968611111111,1618.9432539682539,1584.4754761904762,1557.9389285714287,1658.5561904761903
E-Greedy-MLP,2024-10-11,1537.4624206349204,1779.0840873015873,1749.6363095238096,1722.927023809524,1826.0995238095236
E-Greedy-MLP,2024-10-12,1666.466706349206,1919.678253968254,1880.6751984126986,1845.4127380952382,1965.1161904761902
E-Greedy-MLP,2024-10-13,1800.3226984126982,2056.6190873015876,1997.0751984126987,1978.8369047619049,2094.4995238095235
E-Greedy-MLP,2024-10-14,1921.0793650793648,2179.502420634921,2121.5129761904764,2114.4969047619047,2217.4828571428566
E-Greedy-MLP,2024-10-15,2065.7960317460315,2329.299920634921,2258.96880952381,2263.0135714285716,2380.881468253968
E-Greedy-MLP,2024-10-16,2186.4126984126983,2470.2765873015874,2397.0063095238097,2389.362142857143,2508.912301587301
E-Greedy-MLP,2024-10-17,2312.126984126984,2590.693253968254,2522.839642857143,2508.306904761905,2647.4178571428565
E-Greedy-MLP,2024-10-18,2427.56623015873,2712.8499206349206,2656.1979761904763,2627.3926190476195,2770.089523809523
E-Greedy-MLP,2024-10-19,2526.42123015873,2815.200753968254,2762.636865079365,2722.399285714286,2877.9695238095233
E-Greedy-MLP,2024-10-20,2633.482341269841,2951.217420634921,2874.069365079365,2838.459285714286,3011.1278571428566
E-Greedy-MLP,2024-10-21,2753.569841269841,3070.984087301588,2990.8235317460317,2959.8326190476196,3133.8445238095233
E-Greedy-MLP,2024-10-22,2881.6579365079365,3186.0607539682546,3124.740198412698,3081.4326190476195,3241.33869047619
E-Greedy-MLP,2024-10-23,3024.3654365079365,3335.7774206349213,3299.4235317460316,3242.5154761904764,3402.276468253968
E-Greedy-MLP,2024-10-24,3168.2654365079366,3468.0382539682546,3442.204365079365,3385.714523809524,3542.2998015873013
E-Greedy-MLP,2024-10-25,3314.030793650794,3615.473968253969,3587.0376984126983,3510.342023809524,3702.891468253968
E-Greedy-MLP,2024-10-26,3444.7826984126987,3738.5695238095245,3705.4479761904763,3640.1029365079366,3831.374325396825
E-Greedy-MLP,2024-10-27,3584.906031746032,3874.9020238095245,3850.953531746032,3788.694285714286,3983.3209920634918
E-Greedy-MLP,2024-10-28,3721.3818253968257,4010.435357142858,3995.314365079365,3968.8092857142856,4145.870992063492
E-Greedy-MLP,2024-10-29,3867.2482142857143,4178.937420634921,4140.299087301587,4117.5223412698415,4303.397658730159
E-Greedy-MLP,2024-10-30,4001.604880952381,4298.226944444445,4287.98242063492,4256.283174603175,4429.097658730158
E-Greedy-MLP,2024-10-31,4148.2548809523805,4426.1059920634925,4410.557023809523,4388.549007936508,4562.947658730159
E-Greedy-MLP,2024-11-01,4244.822976190476,4545.394880952382,4516.19988095238,4493.555674603174,4680.715436507937
E-Greedy-MLP,2024-11-02,4354.933452380952,4645.379880952381,4611.10107142857,4593.542896825396,4793.4749603174605
E-Greedy-MLP,2024-11-03,4485.592023809523,4749.695436507937,4726.80107142857,4700.752142857143,4910.817182539683
E-Greedy-MLP,2024-11-04,4611.572380952381,4867.4537698412705,4866.80107142857,4820.185476190476,5038.508134920636
E-Greedy-MLP,2024-11-05,4711.143214285714,4992.04126984127,4982.1510714285705,4924.962142857143,5162.008134920636
E-Greedy-MLP,2024-11-06,4836.343214285714,5129.545436507937,5125.419404761904,5042.108650793651,5296.908134920635
E-Greedy-MLP,2024-11-07,4948.05988095238,5249.382936507936,5258.903571428571,5161.208650793651,5426.412896825397
E-Greedy-Mean,2024-10-01,111.89559523809524,141.69178571428571,163.27623015873016,183.6548015873016,208.8245238095238
