,MABTree ε-greedy MF,MABTree ε-greedy,MABTree UCB1,MABTree Random
0,3.628038636941575,2.2505439026843916,2.7931929442171772,4.233652922891525
1,3.61616747479834,2.269694604720377,2.8050475844407647,4.2321317031782355
2,3.5355479039271827,2.2599628959526092,2.7998950233132516,4.233857797832454
3,3.565836705023582,2.2678906497546745,2.8041806257223545,4.232131821266676
4,3.5476976374768925,2.2662280552022516,2.799855927698174,4.238131993283663
5,3.5588150529488005,2.2609932131713237,2.804234779659784,4.235920801385007
6,3.5085617993588745,2.2553886149226092,2.7998408693758225,4.233479117408547
7,3.5993762854499725,2.265007335441836,2.8041956840447058,4.235639373628481
8,3.5162288748203663,2.256133117608905,2.7998950233132516,4.235762884066687
9,3.5332262104980994,2.2590389226018828,2.8041806257223545,4.2370158595282685
