,LinUCB,UCB1,ε-greedy
0,3.055328162076597,2.9763164670305153,2.1305396086178696
1,2.637488680242137,2.986354240342996,2.135030110712818
2,2.5510841046830497,2.9843633796612714,2.129427862483509
3,2.426811917868285,2.9855065846798445,2.1350316746077325
4,2.3686192971332347,2.984094061015569,2.1310607011058593
5,2.338962706853415,2.985803501888053,2.134819557839173
6,2.3425427827529535,2.984017335135194,2.1225174165417604
7,2.2935404030609607,2.985608380723315,2.130686882307414
8,2.285838274664984,2.984312767170384,2.1264790166160368
9,2.2909911920189048,2.9854829996897663,2.13325426462023
