,date,reward
Epsilon-Greedy-MF,2024-10-14,1397.3107936507936
Epsilon-Greedy-MF,2024-10-15,1519.8057936507935
Epsilon-Greedy-MF,2024-10-16,1628.1932936507935
Epsilon-Greedy-MF,2024-10-17,1746.8855158730157
Epsilon-Greedy-MF,2024-10-18,1857.3396825396824
Epsilon-Greedy-MF,2024-10-19,1971.366349206349
Epsilon-Greedy-MF,2024-10-20,2079.8996825396825
Epsilon-Greedy-MF,2024-10-21,2191.695396825397
Epsilon-Greedy-MF,2024-10-22,2308.223373015873
Epsilon-Greedy-MF,2024-10-23,2456.466944444445
Epsilon-Greedy-MF,2024-10-24,2585.2544444444447
Epsilon-Greedy-MF,2024-10-25,2719.7752777777782
Epsilon-Greedy-MF,2024-10-26,2845.333055555556
Epsilon-Greedy-MF,2024-10-27,2982.042777777778
Epsilon-Greedy-MF,2024-10-28,3131.9852777777783
Epsilon-Greedy-MF,2024-10-29,3270.685277777778
Epsilon-Greedy-MF,2024-10-30,3409.670277777778
Epsilon-Greedy-MF,2024-10-31,3544.1614682539685
Epsilon-Greedy-MF,2024-11-01,3657.155436507937
Epsilon-Greedy-MF,2024-11-02,3758.6321031746033
Epsilon-Greedy-MF,2024-11-03,3864.14876984127
Epsilon-Greedy-MF,2024-11-04,3979.898293650794
Epsilon-Greedy-MF,2024-11-05,4105.116626984128
Epsilon-Greedy-MF,2024-11-06,4218.913293650795
Epsilon-Greedy-MF,2024-11-07,4342.243293650795
Softmax-MF,2024-10-01,108.38043650793651
Softmax-MF,2024-10-02,216.83404761904762
Softmax-MF,2024-10-03,284.7107142857143
Softmax-MF,2024-10-04,375.76988095238096
Softmax-MF,2024-10-05,453.81944444444446
Softmax-MF,2024-10-06,536.5228571428571
Softmax-MF,2024-10-07,645.2055952380952
Softmax-MF,2024-10-08,755.2371428571428
Softmax-MF,2024-10-09,855.5128968253968
Softmax-MF,2024-10-10,978.9015079365079
Softmax-MF,2024-10-11,1068.4580555555556
Softmax-MF,2024-10-12,1169.6455555555556
Softmax-MF,2024-10-13,1246.8248015873016
Softmax-MF,2024-10-14,1353.4315873015873
Softmax-MF,2024-10-15,1438.0605952380952
Softmax-MF,2024-10-16,1515.8065079365078
Softmax-MF,2024-10-17,1609.4631746031746
Softmax-MF,2024-10-18,1702.1445634920635
Softmax-MF,2024-10-19,1776.482619047619
Softmax-MF,2024-10-20,1868.6040476190476
Softmax-MF,2024-10-21,1963.3057142857142
Softmax-MF,2024-10-22,2059.057976190476
Softmax-MF,2024-10-23,2162.025714285714
Softmax-MF,2024-10-24,2261.535595238095
Softmax-MF,2024-10-25,2366.408650793651
Softmax-MF,2024-10-26,2447.407261904762
Softmax-MF,2024-10-27,2534.937261904762
Softmax-MF,2024-10-28,2652.0672619047623
Softmax-MF,2024-10-29,2768.5346825396828
Softmax-MF,2024-10-30,2869.653373015873
Softmax-MF,2024-10-31,2986.9294841269843
Softmax-MF,2024-11-01,3084.839484126984
Softmax-MF,2024-11-02,3158.3098412698414
Softmax-MF,2024-11-03,3241.584007936508
Softmax-MF,2024-11-04,3341.389007936508
Softmax-MF,2024-11-05,3420.8256746031743
Softmax-MF,2024-11-06,3512.5067857142853
Softmax-MF,2024-11-07,3607.9262301587296
