,MABTree ε-greedy MF,MABTree ε-greedy,MABTree UCB1,MABTree Random
0,0.5978117697046952,0.30979392394306354,0.3437858508604206,0.7753770979392394
1,0.5940726577437858,0.3134055661780327,0.3506479711068622,0.7744848098576589
2,0.6054387083067772,0.30990014871468025,0.3476099426386234,0.775780752071383
3,0.5919056724028043,0.31302315700021244,0.34990439770554493,0.7753346080305927
4,0.5786700658593583,0.3120033991926917,0.3476099426386234,0.7767367750159336
5,0.59536859995751,0.3110686212024644,0.34992564265986825,0.7755470575738264
6,0.5653282345442957,0.30943275971956663,0.3475886976843,0.7755470575738264
7,0.5869555980454642,0.3117059698321649,0.34992564265986825,0.7725727639685576
8,0.5912683237731039,0.3107711918419375,0.3476099426386234,0.7764605906097302
9,0.6035054174633524,0.3082005523688124,0.34990439770554493,0.7766730401529636
