,createdAt,reward,reward,reward,reward,reward,reward,reward,reward,reward,reward
MABTree UCB,2024-11-06,1325.0386188271605,1325.0386188271605,1325.0386188271605,1325.0386188271605,1325.0386188271605,1325.0386188271605,1325.0386188271605,1325.0386188271605,1325.0386188271605,1325.0386188271605
MABTree UCB,2024-11-07,1360.354637345679,1360.354637345679,1360.354637345679,1360.354637345679,1360.354637345679,1360.354637345679,1360.354637345679,1360.354637345679,1360.354637345679,1360.354637345679
MABTree UCB,2024-11-08,1415.2278317901234,1415.2278317901234,1415.2278317901234,1415.2278317901234,1415.2278317901234,1415.2278317901234,1415.2278317901234,1415.2278317901234,1415.2278317901234,1415.2278317901234
MABTree UCB,2024-11-09,1440.8797067901235,1440.8797067901235,1440.8797067901235,1440.8797067901235,1440.8797067901235,1440.8797067901235,1440.8797067901235,1440.8797067901235,1440.8797067901235,1440.8797067901235
MABTree UCB,2024-11-10,1472.0376929012345,1472.0376929012345,1472.0376929012345,1472.0376929012345,1472.0376929012345,1472.0376929012345,1472.0376929012345,1472.0376929012345,1472.0376929012345,1472.0376929012345
MABTree UCB,2024-11-11,1517.664236111111,1517.664236111111,1517.664236111111,1517.664236111111,1517.664236111111,1517.664236111111,1517.664236111111,1517.664236111111,1517.664236111111,1517.664236111111
MABTree UCB,2024-11-12,1565.6835570987653,1565.6835570987653,1565.6835570987653,1565.6835570987653,1565.6835570987653,1565.6835570987653,1565.6835570987653,1565.6835570987653,1565.6835570987653,1565.6835570987653
MABTree UCB,2024-11-13,1617.2441820987654,1617.2441820987654,1617.2441820987654,1617.2441820987654,1617.2441820987654,1617.2441820987654,1617.2441820987654,1617.2441820987654,1617.2441820987654,1617.2441820987654
MABTree UCB,2024-11-14,1667.2130015432099,1667.2130015432099,1667.2130015432099,1667.2130015432099,1667.2130015432099,1667.2130015432099,1667.2130015432099,1667.2130015432099,1667.2130015432099,1667.2130015432099
MABTree UCB,2024-11-15,1705.1757793209877,1705.1757793209877,1705.1757793209877,1705.1757793209877,1705.1757793209877,1705.1757793209877,1705.1757793209877,1705.1757793209877,1705.1757793209877,1705.1757793209877
MABTree UCB,2024-11-16,1741.9280015432098,1741.9280015432098,1741.9280015432098,1741.9280015432098,1741.9280015432098,1741.9280015432098,1741.9280015432098,1741.9280015432098,1741.9280015432098,1741.9280015432098
MABTree UCB,2024-11-17,1782.9238348765432,1782.9238348765432,1782.9238348765432,1782.9238348765432,1782.9238348765432,1782.9238348765432,1782.9238348765432,1782.9238348765432,1782.9238348765432,1782.9238348765432
MABTree UCB,2024-11-18,1825.9703086419754,1825.9703086419754,1825.9703086419754,1825.9703086419754,1825.9703086419754,1825.9703086419754,1825.9703086419754,1825.9703086419754,1825.9703086419754,1825.9703086419754
MABTree UCB,2024-11-19,1865.2539197530866,1865.2539197530866,1865.2539197530866,1865.2539197530866,1865.2539197530866,1865.2539197530866,1865.2539197530866,1865.2539197530866,1865.2539197530866,1865.2539197530866
MABTree UCB,2024-11-20,1912.9116975308643,1912.9116975308643,1912.9116975308643,1912.9116975308643,1912.9116975308643,1912.9116975308643,1912.9116975308643,1912.9116975308643,1912.9116975308643,1912.9116975308643
MABTree UCB,2024-11-21,1958.8044753086422,1958.8044753086422,1958.8044753086422,1958.8044753086422,1958.8044753086422,1958.8044753086422,1958.8044753086422,1958.8044753086422,1958.8044753086422,1958.8044753086422
MABTree UCB,2024-11-22,2023.3081712962965,2023.3081712962965,2023.3081712962965,2023.3081712962965,2023.3081712962965,2023.3081712962965,2023.3081712962965,2023.3081712962965,2023.3081712962965,2023.3081712962965
MABTree UCB,2024-11-23,2064.118441358025,2064.118441358025,2064.118441358025,2064.118441358025,2064.118441358025,2064.118441358025,2064.118441358025,2064.118441358025,2064.118441358025,2064.118441358025
MABTree UCB,2024-11-24,2106.148163580247,2106.148163580247,2106.148163580247,2106.148163580247,2106.148163580247,2106.148163580247,2106.148163580247,2106.148163580247,2106.148163580247,2106.148163580247
MABTree UCB,2024-11-25,2159.493387345679,2159.493387345679,2159.493387345679,2159.493387345679,2159.493387345679,2159.493387345679,2159.493387345679,2159.493387345679,2159.493387345679,2159.493387345679
MABTree UCB,2024-11-26,2213.6029166666667,2213.6029166666667,2213.6029166666667,2213.6029166666667,2213.6029166666667,2213.6029166666667,2213.6029166666667,2213.6029166666667,2213.6029166666667,2213.6029166666667
MABTree UCB,2024-11-27,2263.82012345679,2263.82012345679,2263.82012345679,2263.82012345679,2263.82012345679,2263.82012345679,2263.82012345679,2263.82012345679,2263.82012345679,2263.82012345679
