,createdAt,reward,reward,reward,reward,reward,reward,reward,reward,reward,reward
MABTree Random,2024-10-15,532.0690447845805,508.5495690035273,565.7326020408163,539.2949305555555,526.4367120181406,533.0966509196271,503.47038973922906,545.3640008503401,548.8735696963971,557.0818389392794
MABTree Random,2024-10-16,572.1515051020408,540.7713249559083,599.3738718820862,582.5611607142857,558.0546981292517,564.1377620307383,544.83637739355,579.9698738662131,585.5555141408415,593.4968389392793
MABTree Random,2024-10-17,609.9449178004535,594.6437555114638,635.2644671201814,627.2220789241622,598.7688647959184,599.710539808516,584.6980440602167,623.6634849773242,630.802458585286,630.3901722726126
MABTree Random,2024-10-18,641.4988860544217,621.5106999559083,677.9891836734694,667.4515233686067,627.9685870181406,633.5954547745024,626.6549885046611,653.6994726316451,660.3341252519526,668.8583071932476
MABTree Random,2024-10-19,671.2774971655328,651.0045194003527,708.6260090702948,707.9087455908289,652.3960870181406,658.8418436633913,652.6947107268833,681.5039170760896,686.6732919186193,695.2664421138825
MABTree Random,2024-10-20,704.3404832766439,673.5765255731922,732.4579535147393,738.8395789241622,684.7094997165533,685.256010330058,683.3785996157721,709.8174664588056,725.0568916918619,727.5681087805491
MABTree Random,2024-10-21,740.1324163832198,710.7218033509699,757.5755328798186,775.4925154320987,720.1899362244898,727.5132325522802,721.2252662824388,744.7914743953136,767.8712170886873,759.8775532249936
MABTree Random,2024-10-22,784.8932497165532,736.1584700176365,794.0960884353742,804.3202932098765,753.7407695578231,761.3576769967246,751.5085996157721,790.1239743953136,797.3217726442429,789.9717198916602
MABTree Random,2024-10-23,807.2949263038548,787.1334799382714,836.3973979591838,846.0617614638447,789.7191028911565,796.4101769967247,795.7697900919626,836.797793839758,836.7490962773999,821.3800532249935
MABTree Random,2024-10-24,846.9005920886873,823.1542339065254,875.953107835727,889.581836419753,829.2085870181406,832.5812881078358,831.0645519967245,879.3875777903753,875.8707629440665,859.9259659234062
MABTree Random,2024-10-25,886.8602448664651,865.3482418430333,909.4144967246159,932.466836419753,863.2405314625851,866.9471214411691,870.2967742189467,915.2086889014864,915.5582629440665,895.1325135424538
MABTree Random,2024-10-26,917.0202448664651,885.1446307319222,940.913107835727,960.8485030864197,896.22116638322,898.8285896951373,894.0087866906019,950.9617047745023,947.4713978647014,925.7102913202316
MABTree Random,2024-10-27,953.1774670886873,914.525333679768,967.5137427563619,997.4537808641975,928.0011663832199,939.1566849332326,933.192397801713,981.9322702506928,989.616953420257,960.7727913202316
MABTree Random,2024-10-28,985.7706020093223,966.0945003464346,1002.3401316452508,1038.1474203199798,960.3614441609977,981.8994627110103,974.039897801713,1020.5729051713278,1024.1570427059712,1005.3969579868983
MABTree Random,2024-10-29,1027.4602845490049,1004.7456114575458,1031.184337994457,1072.634948664651,997.4448568594105,1028.0488958175863,1017.2824374842527,1059.565790658856,1059.6275982615268,1041.0668488599142
MABTree Random,2024-10-30,1065.0371595490049,1042.8497781242124,1067.5523241055682,1099.3824486646508,1036.793785430839,1064.9951656588562,1047.3560585159987,1098.9138065318718,1101.77343159486,1080.3676921138824
MABTree Random,2024-10-31,1098.6103738347192,1081.4202032942806,1099.1184352166792,1128.6893931090954,1073.1181490929705,1104.677943436634,1091.1591140715543,1132.5195208175862,1142.4931538170822,1115.5235353678506
MABTree Random,2024-11-01,1127.046286533132,1102.9535366276139,1124.8435145817587,1160.5059903313177,1101.9299700806248,1135.848062484253,1117.3105029604433,1163.447933515999,1164.5498204837488,1141.1713131456283
MABTree Random,2024-11-02,1160.0070184555304,1131.282381424792,1146.577839978584,1187.2976569979844,1132.0713589695138,1159.5081418493323,1140.0388306248424,1199.4349396888385,1192.909542705971,1177.5705194948348
MABTree Random,2024-11-03,1190.9943949987403,1162.332381424792,1182.4504590262031,1220.5894030297304,1169.3877478584027,1189.256554547745,1168.915100466112,1228.2704952443942,1220.3906538170822,1210.8780988599142
MABTree Random,2024-11-04,1217.526010644999,1200.858492535903,1219.780459026203,1256.828688744016,1202.4774006361804,1217.0491339128243,1198.202600466112,1255.8013285777274,1249.9194633408918,1246.1042099710253
MABTree Random,2024-11-05,1253.3126773116655,1239.5040480914586,1249.6762923595363,1303.6564665217938,1234.6837895250692,1255.4045803413958,1231.2623226883343,1282.4081495653818,1288.8983522297806,1284.034487748803
MABTree Random,2024-11-06,1289.70899675611,1280.6845738851093,1284.9582764865204,1334.3667442995716,1266.7543450806247,1286.8687073255228,1267.2870449105565,1323.679260676493,1324.691933578987,1319.511987748803
MABTree Random,2024-11-07,1330.44649675611,1317.203802280171,1330.0389794343662,1375.9013298374905,1303.0310911123706,1335.5221200239355,1309.8426004661121,1366.990252739985,1367.336060563114,1366.2517099710253
MABTree Random,2024-11-08,1368.1992745338878,1358.1701911690598,1370.558146101033,1424.9790381708237,1344.3067260330056,1379.9221200239356,1351.337362370874,1403.179560500126,1405.2382714474677,1407.9369877488032
MABTree Random,2024-11-09,1412.906836262283,1395.470116055681,1410.8223070987654,1462.7851379440663,1382.8392997291508,1415.9807311350467,1380.7999417359533,1440.2969414525069,1443.36799366969,1447.7165512408667
MABTree Random,2024-11-10,1449.5096140400608,1425.8848382779033,1445.5695293209876,1493.5141855631139,1417.86875409423,1449.7407311350466,1422.9327988788104,1473.058052563618,1480.49299366969,1483.2235750503905
MABTree Random,2024-11-11,1481.5388600718068,1470.8277858087674,1481.7737753527335,1532.964185563114,1453.9109862370872,1497.2726061350465,1471.1155766565882,1513.1986081191735,1519.397090891912,1529.3692099710254
MABTree Random,2024-11-12,1525.2184575774756,1520.5637734630884,1536.0621880511462,1567.6528363567647,1504.8821767132777,1547.4899870874274,1515.6905766565883,1563.6609890715545,1572.5430035903248,1579.662928791887
MABTree Random,2024-11-13,1573.7542852418746,1555.9571067964218,1576.5025055114636,1615.027419690098,1549.0034068720079,1586.758042642983,1560.1652932098764,1606.2296001826655,1616.7904341458805,1627.9061386684302
