,createdAt,reward,reward,reward,reward,reward,reward,reward,reward,reward,reward
MABTree ε-greedy MF,2024-10-12,442.96358418367345,450.68134574200053,473.52296343537415,468.30719954648526,493.4049546485261,454.3916828861174,476.0033575837743,426.1446187641724,487.9930643738977,461.6020564058957
MABTree ε-greedy MF,2024-10-13,482.0434254535147,492.24134574200053,513.0351162131519,519.0187244897959,537.0471768707483,491.97593883849834,520.6876785714286,466.99388180272115,524.6519532627866,502.7180087868481
MABTree ε-greedy MF,2024-10-14,527.1877310090703,533.4822385991433,555.7075666099773,554.6093934240363,582.2946768707484,525.926355505165,566.1903174603175,511.703205782313,570.3799393738977,541.818008786848
MABTree ε-greedy MF,2024-10-15,578.0436437074829,563.5805209120686,597.120989229025,598.0469154698917,639.9688435374151,575.0804527273872,610.2560813492064,553.9514484126985,626.0277171516755,592.1437186633913
MABTree ε-greedy MF,2024-10-16,618.643018707483,594.7091816263543,637.4066340702948,631.190600277148,693.5355102040818,605.2081070483748,657.5106646825398,597.6115332892417,661.5414825837743,640.106496441169
MABTree ε-greedy MF,2024-10-17,651.5852409297052,637.316334404132,680.9058955341396,678.2533780549257,744.8493990929707,646.237968159486,707.8733730158731,642.5869653880071,713.4100936948854,683.2877618732678
MABTree ε-greedy MF,2024-10-18,693.5719075963718,670.5211756739733,719.9179136747292,713.0219834971026,788.0455102040818,685.2001903817081,746.2301014109348,678.5860646573444,754.1628714726631,720.2158734882842
MABTree ε-greedy MF,2024-10-19,722.6807964852608,707.2384375787352,748.3951358969514,742.5178111615018,824.3996768707484,711.0838014928192,782.411698633157,706.4341598954396,791.2600936948853,745.937024281935
MABTree ε-greedy MF,2024-10-20,763.9227409297052,750.9090724993702,780.5423581191736,780.2170968757874,865.819607426304,749.629079270597,816.9400319664903,739.6865408478205,831.4753714726631,778.9619008251449
MABTree ε-greedy MF,2024-10-21,806.7163917233561,787.2304217057193,818.3923581191737,821.7923349710255,906.0679407596373,787.9707459372637,862.6319764109347,764.467612276392,866.4598159171076,807.5135674918115
MABTree ε-greedy MF,2024-10-22,840.1957964852609,823.9336855946082,856.7815247858404,856.025271478962,949.5720379818595,821.3620157785335,894.8544764109347,797.4217789430586,900.681760361552,842.4077341584782
MABTree ε-greedy MF,2024-10-23,891.9112726757371,876.007693531116,902.8160485953641,904.2213825900732,1005.2275240929706,864.3884046674224,943.383797398589,846.3074138636936,958.1900936948854,887.2827341584782
MABTree ε-greedy MF,2024-10-24,933.1946060090704,917.8407490866716,947.0463759763165,946.4479302091208,1052.5467701247167,900.6816685563113,984.9342294973544,884.4757812106324,1007.009022266314,922.4035674918115
MABTree ε-greedy MF,2024-10-25,974.5957171201816,958.8235707986897,991.1796738788108,985.4213372385993,1094.4231590136055,936.4771546674224,1021.6241060405642,921.8173628432854,1050.220133377425,961.51737260645
MABTree ε-greedy MF,2024-10-26,1007.1454393424038,990.4456342907532,1031.670099048879,1031.5757262534646,1136.781214569161,961.0363099962206,1058.2076598324513,965.1916258818342,1092.5482506613757,1000.4893170508944
MABTree ε-greedy MF,2024-10-27,1049.400157155455,1032.9745231796421,1072.675099048879,1064.9626650289747,1186.0716466679264,998.7653916288737,1096.5551598324514,1005.601397707231,1128.5709049823633,1041.796261495339
MABTree ε-greedy MF,2024-10-28,1094.2155483119175,1070.2123406399596,1109.1761407155457,1113.05076026707,1231.211577223482,1037.6063836923656,1129.364326499118,1051.953449861426,1174.0403494268078,1083.469112969262
MABTree ε-greedy MF,2024-10-29,1132.2172943436635,1108.2782136558326,1154.9928073822123,1160.3068260267073,1267.3020093222474,1085.212455120937,1174.2312652746282,1095.3613509385234,1226.546244488536,1120.5390732867222
MABTree ε-greedy MF,2024-10-30,1177.169158005795,1153.6118247669438,1205.7850296044344,1196.2612648022175,1321.7302037666918,1125.5721773431592,1216.3094597190727,1138.2968370496344,1269.6906889329805,1170.1847875724366
MABTree ε-greedy MF,2024-10-31,1225.571986803981,1201.3004749307129,1249.8991211577224,1237.914014235324,1357.2246482111364,1178.265947184429,1260.3349381141345,1180.4803341521792,1312.030133377425,1215.3789429012347
MABTree ε-greedy MF,2024-11-01,1262.236741622575,1236.3724193751573,1287.5943989355003,1271.5749666162765,1388.8682593222475,1211.6930106764926,1301.494109032502,1210.0110923721338,1348.678621031746,1254.0704733560092
MABTree ε-greedy MF,2024-11-02,1293.71987654321,1273.8024811035523,1323.596065602167,1299.785107709751,1421.5355432728647,1246.411830120937,1336.5768790942302,1237.421806657848,1386.2928185626101,1282.0578995023936
MABTree ε-greedy MF,2024-11-03,1333.6320293209876,1313.491647770219,1352.4736449672464,1329.5279648526082,1455.0484753716303,1282.7201733749055,1365.1976826656587,1270.7921241181655,1429.059207451499,1326.6999982678258
MABTree ε-greedy MF,2024-11-04,1363.2302138447972,1356.209147770219,1384.6749828357272,1364.346734693878,1487.065905927186,1318.0548955971276,1397.2097447404885,1305.1009038800703,1460.2316677689594,1358.8842442995717
MABTree ε-greedy MF,2024-11-05,1406.8051741622576,1398.5993561035523,1420.8824431531875,1404.1799489795924,1526.0936837049637,1354.678228930461,1438.9974982678254,1338.1916280864195,1499.9284931657849,1399.0230097316705
