,LinUCB,UCB1,ε-greedy
0,0.46078181431909915,0.3920543870830678,0.3006798385383471
1,0.46078181431909915,0.39885277246653916,0.3026556192904185
2,0.46078181431909915,0.3965370724452943,0.30063734862970043
3,0.46078181431909915,0.39796048438495857,0.30129594221372424
4,0.46078181431909915,0.39651582749097086,0.3019757807520714
5,0.46078181431909915,0.398109199065222,0.3022094752496282
6,0.46078181431909915,0.3963458678563841,0.30000000000000004
7,0.46078181431909915,0.39813044401954534,0.30174208625451454
8,0.46078181431909915,0.39651582749097086,0.3008285532186106
9,0.46078181431909915,0.39793923943063514,0.30201827066071807
