,createdAt,reward,reward,reward,reward,reward
LinUCB,2024-11-14,1691.7312876354251,1614.4191951688078,1715.8329736709504,1777.152094828672,1736.0398332388513
LinUCB,2024-11-15,1737.6407320798696,1656.7861396132523,1764.3286835474937,1826.8074519715292,1783.6409443499624
LinUCB,2024-11-16,1769.9641447782824,1690.167243008314,1804.8624533887635,1868.5232235764674,1826.274425075586
LinUCB,2024-11-17,1818.7466050957428,1730.3884158478202,1853.3189216427318,1918.0771918304356,1868.6076790438399
LinUCB,2024-11-18,1860.4904146195522,1780.3545501070794,1895.182254976065,1963.7424815759634,1911.920831601159
LinUCB,2024-11-19,1918.8135892227267,1829.5213677878553,1953.240054799698,2012.8010177311662,1967.0385002519527
LinUCB,2024-11-20,1962.2963890463598,1884.1229947719823,2004.6654913076345,2052.515603269085,2014.3857224741748
LinUCB,2024-11-21,2009.867738252709,1932.5704253275378,2055.7773960695395,2105.594769935752,2061.868460569413
LinUCB,2024-11-22,2064.140321869489,1997.2512629125717,2120.7296282123966,2173.955842466616,2126.3083823066263
LinUCB,2024-11-23,2107.7748059964733,2047.1740803728892,2182.2385093852363,2219.904644274376,2172.9873726064498
LinUCB,2024-11-24,2136.3667724867732,2088.5935248173337,2223.065057004284,2267.8371663202315,2218.4517880763415
LinUCB,2024-11-25,2174.8483553791893,2124.7461736268574,2262.8523387503155,2305.0934560027713,2256.8508114449482
LinUCB,2024-11-26,2231.950022045856,2170.54104324137,2317.6229560342663,2357.20352324263,2304.2391334404133
LinUCB,2024-11-27,2283.1407405832706,2215.5804048563864,2367.1889920319986,2412.1315611615014,2360.0570082199547
LinUCB,2024-11-28,2336.289708837239,2262.3065102985634,2420.3862085852866,2468.750670508944,2413.2210514298313
LinUCB,2024-11-29,2379.55831994835,2307.977065854119,2471.4656133471913,2526.7644227135297,2463.0743847631647
LinUCB,2024-11-30,2421.07955010708,2353.9741513920376,2515.3274960632407,2570.3494227135297,2497.2532560153695
